customer_id,first_name,last_name,email,phone,ssn,credit_card,address,city,state,zip_code,date_of_birth,annual_income
C001,John,Smith,john.smith@example.com,555-0101,123-45-6789,4111111111111111,123 Main St,New York,NY,10001,1980-05-15,85000
C002,Jane,Doe,jane.doe@example.com,555-0102,987-65-4321,4222222222222222,456 Oak Ave,Los Angeles,CA,90001,1985-08-22,92000
C003,Robert,Johnson,robert.j@example.com,555-0103,456-78-9012,4333333333333333,789 Pine Rd,Chicago,IL,60601,1978-12-10,78000
C004,Emily,Williams,emily.w@example.com,555-0104,321-54-8765,4444444444444444,321 Elm St,Houston,TX,77001,1990-03-30,65000
C005,Michael,Brown,michael.b@example.com,555-0105,654-32-1098,4555555555555555,654 Maple Dr,Phoenix,AZ,85001,1982-07-18,88000
C006,Sarah,Davis,sarah.d@example.com,555-0106,789-01-2345,4666666666666666,987 Cedar Ln,Philadelphia,PA,19101,1975-11-05,95000
C007,David,Miller,david.m@example.com,555-0107,890-12-3456,4777777777777777,159 Birch Way,San Antonio,TX,78201,1988-09-12,72000
C008,Jennifer,Wilson,jennifer.w@example.com,555-0108,901-23-4567,4888888888888888,753 Spruce Ct,San Diego,CA,92101,1992-01-25,68000
C009,William,Moore,william.m@example.com,555-0109,012-34-5678,4999999999999999,852 Willow Ave,Dallas,TX,75201,1972-04-08,105000
C010,Linda,Taylor,linda.t@example.com,555-0110,234-56-7890,4000000000000000,963 Aspen Blvd,San Jose,CA,95101,1983-06-19,89000
