customer_id,first_name,last_name,email,phone,ssn,date_of_birth,address,customer_since,loyalty_tier,annual_income
CUST0001,First1,Last1,customer1@example.com,555-1001,101-21-3001,1980-01-31,"101 Main St, City1, State1, 10001",2020-01-11,Silver,51000
CUST0002,First2,Last2,customer2@example.com,555-1002,102-22-3002,1980-03-01,"102 Main St, City2, State2, 10002",2020-01-21,Gold,52000
CUST0003,First3,Last3,customer3@example.com,555-1003,103-23-3003,1980-03-31,"103 Main St, City3, State3, 10003",2020-01-31,Bronze,53000
CUST0004,First4,Last4,customer4@example.com,555-1004,104-24-3004,1980-04-30,"104 Main St, City4, State4, 10004",2020-02-10,Silver,54000
CUST0005,First5,Last5,customer5@example.com,555-1005,105-25-3005,1980-05-30,"105 Main St, City5, State5, 10005",2020-02-20,Gold,55000
CUST0006,First6,Last6,customer6@example.com,555-1006,106-26-3006,1980-06-29,"106 Main St, City6, State6, 10006",2020-03-01,Bronze,56000
CUST0007,First7,Last7,customer7@example.com,555-1007,107-27-3007,1980-07-29,"107 Main St, City7, State7, 10007",2020-03-11,Silver,57000
CUST0008,First8,Last8,customer8@example.com,555-1008,108-28-3008,1980-08-28,"108 Main St, City8, State8, 10008",2020-03-21,Gold,58000
CUST0009,First9,Last9,customer9@example.com,555-1009,109-29-3009,1980-09-27,"109 Main St, City9, State9, 10009",2020-03-31,Bronze,59000
CUST0010,First10,Last10,customer10@example.com,555-1010,110-30-3010,1980-10-27,"110 Main St, City10, State10, 10010",2020-04-10,Silver,60000
CUST0011,First11,Last11,customer11@example.com,555-1011,111-31-3011,1980-11-26,"111 Main St, City11, State11, 10011",2020-04-20,Gold,61000
CUST0012,First12,Last12,customer12@example.com,555-1012,112-32-3012,1980-12-26,"112 Main St, City12, State12, 10012",2020-04-30,Bronze,62000
CUST0013,First13,Last13,customer13@example.com,555-1013,113-33-3013,1981-01-25,"113 Main St, City13, State13, 10013",2020-05-10,Silver,63000
CUST0014,First14,Last14,customer14@example.com,555-1014,114-34-3014,1981-02-24,"114 Main St, City14, State14, 10014",2020-05-20,Gold,64000
CUST0015,First15,Last15,customer15@example.com,555-1015,115-35-3015,1981-03-26,"115 Main St, City15, State15, 10015",2020-05-30,Bronze,65000
CUST0016,First16,Last16,customer16@example.com,555-1016,116-36-3016,1981-04-25,"116 Main St, City16, State16, 10016",2020-06-09,Silver,66000
CUST0017,First17,Last17,customer17@example.com,555-1017,117-37-3017,1981-05-25,"117 Main St, City17, State17, 10017",2020-06-19,Gold,67000
CUST0018,First18,Last18,customer18@example.com,555-1018,118-38-3018,1981-06-24,"118 Main St, City18, State18, 10018",2020-06-29,Bronze,68000
CUST0019,First19,Last19,customer19@example.com,555-1019,119-39-3019,1981-07-24,"119 Main St, City19, State19, 10019",2020-07-09,Silver,69000
CUST0020,First20,Last20,customer20@example.com,555-1020,120-40-3020,1981-08-23,"120 Main St, City20, State20, 10020",2020-07-19,Gold,70000
CUST0021,First21,Last21,customer21@example.com,555-1021,121-41-3021,1981-09-22,"121 Main St, City21, State21, 10021",2020-07-29,Bronze,71000
CUST0022,First22,Last22,customer22@example.com,555-1022,122-42-3022,1981-10-22,"122 Main St, City22, State22, 10022",2020-08-08,Silver,72000
